"Fiscal.Year","BRONX","BROOKLYN","MANHATTAN"
2015,66728.6763187689,68740.3027441283,39197.1577035106
2016,69258.09050194,71407.1619713698,41460.9723653444
2017,69254.7484301329,72910.09523877,42984.916666609
2018,69977.9920117067,73584.6661226173,45021.4467686298
2019,72516.4430497193,74369.6007478792,48098.585000084
2020,77137.603855301,79349.6847922002,51289.7571607461
