"Fiscal.Year","BRONX","BROOKLYN","MANHATTAN"
2015,1838.71516982556,1887.13567455477,413.551448859436
2016,1826.33410373698,1883.78559594663,429.455991599548
2017,1723.81474730548,1809.18461868708,417.440821606794
2018,1794.85515750154,1848.88800356042,420.793520510472
2019,1869.31734161989,1867.44907278801,417.163444008485
2020,2012.36267242458,2000.54018870468,447.459366758636
